service_id,date,exception_type
阿木火木金,20201103,2
阿木火木金,20201229,2
阿木火木金,20201230,2
阿木火木金,20201231,2
阿木火木金,20210101,2
阿木火木金,20210102,2
阿木火木金,20210103,2
阿木火木金,20210211,2
阿木火木金,20210223,2
阿木水,20201227,2
阿木水,20201228,2
阿木水,20201229,2
阿木水,20201230,2
阿木水,20201231,2
阿木水,20210101,2
阿木水,20210102,2
阿木水,20210103,2
阿木水,20210104,2
阿木水,20210105,2
阿木水,20210106,2
阿木水,20210107,2
阿木水,20210327,2
阿木水,20210328,2
阿木水,20210329,2
阿木水,20210330,2
阿木水,20210331,2
加子母,20201103,2
加子母,20201123,2
加子母,20201229,2
加子母,20201230,2
加子母,20201231,2
加子母,20210101,2
加子母,20210102,2
加子母,20210103,2
加子母,20210111,2
加子母,20210211,2
加子母,20210223,2
加子母,20210320,2
坂下,20201103,2
坂下,20201123,2
坂下,20201229,2
坂下,20201230,2
坂下,20201231,2
坂下,20210101,2
坂下,20210102,2
坂下,20210103,2
坂下,20210111,2
坂下,20210211,2
坂下,20210223,2
蛭川,20201123,2
蛭川,20201229,2
蛭川,20201230,2
蛭川,20201231,2
蛭川,20210101,2
蛭川,20210102,2
蛭川,20210103,2
蛭川,20210111,2
付知,20201123,2
付知,20201229,2
付知,20201230,2
付知,20201231,2
付知,20210101,2
付知,20210102,2
付知,20210103,2
付知,20210111,2
福岡火,20201229,2
福岡火,20201230,2
福岡火,20201231,2
福岡火,20210101,2
福岡火,20210102,2
福岡火,20210103,2
福岡金,20201229,2
福岡金,20201230,2
福岡金,20201231,2
福岡金,20210101,2
福岡金,20210102,2
福岡金,20210103,2
福岡水,20201229,2
福岡水,20201230,2
福岡水,20201231,2
福岡水,20210101,2
福岡水,20210102,2
福岡水,20210103,2
福岡木,20201229,2
福岡木,20201230,2
福岡木,20201231,2
福岡木,20210101,2
福岡木,20210102,2
福岡木,20210103,2
落合,20201103,2
落合,20201229,2
落合,20201230,2
落合,20201231,2
落合,20210101,2
落合,20210102,2
落合,20210103,2
落合,20210223,2
