route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,jp_parent_route_id,route_color,route_text_color
101001,5000020232114_1,,とよたおいでんバス1藤岡・豊田線（加納経由）,,3,10,FFA940,000000
101002,5000020232114_1,,とよたおいでんバス1藤岡・豊田線（加納経由）,,3,10,FFA940,000000
101003,5000020232114_1,,とよたおいでんバス1藤岡・豊田線（加納経由）,,3,10,FFA940,000000
102001,5000020232114_1,,とよたおいでんバス1藤岡・豊田線（加納経由）,,3,10,FFA940,000000
102002,5000020232114_1,,とよたおいでんバス1藤岡・豊田線（加納経由）,,3,10,FFA940,000000
102003,5000020232114_1,,とよたおいでんバス1藤岡・豊田線（加納経由）,,3,10,FFA940,000000
111001,5000020232114_1,,とよたおいでんバス2小原・豊田線,,3,11,FFA940,000000
111002,5000020232114_1,,とよたおいでんバス2小原・豊田線,,3,11,FFA940,000000
112001,5000020232114_1,,とよたおいでんバス2小原・豊田線,,3,11,FFA940,000000
112002,5000020232114_1,,とよたおいでんバス2小原・豊田線,,3,11,FFA940,000000
121001,5000020232114_1,,とよたおいでんバス2藤岡・豊田線（西中山経由）,,3,12,FFA940,000000
121002,5000020232114_1,,とよたおいでんバス2藤岡・豊田線（西中山経由）,,3,12,FFA940,000000
121003,5000020232114_1,,とよたおいでんバス2藤岡・豊田線（西中山経由）,,3,12,FFA940,000000
121004,5000020232114_1,,とよたおいでんバス2藤岡・豊田線（西中山経由）,,3,12,FFA940,000000
122001,5000020232114_1,,とよたおいでんバス2藤岡・豊田線（西中山経由）,,3,12,FFA940,000000
122002,5000020232114_1,,とよたおいでんバス2藤岡・豊田線（西中山経由）,,3,12,FFA940,000000
122003,5000020232114_1,,とよたおいでんバス2藤岡・豊田線（西中山経由）,,3,12,FFA940,000000
131001,5000020232114_1,,とよたおいでんバス5旭・豊田線,,3,13,FFA940,000000
131002,5000020232114_1,,とよたおいでんバス5旭・豊田線,,3,13,FFA940,000000
132001,5000020232114_1,,とよたおいでんバス5旭・豊田線,,3,13,FFA940,000000
132002,5000020232114_1,,とよたおいでんバス5旭・豊田線,,3,13,FFA940,000000
141001,5000020232114_1,,とよたおいでんバス6旭・足助線,,3,14,FFA940,000000
142001,5000020232114_1,,とよたおいでんバス6旭・足助線,,3,14,FFA940,000000
151001,5000020232114_1,,とよたおいでんバス7稲武・足助線,,3,15,FFA940,000000
151002,5000020232114_1,,とよたおいでんバス7稲武・足助線,,3,15,FFA940,000000
151003,5000020232114_1,,とよたおいでんバス快速いなぶ,,3,15,FFA940,000000
152001,5000020232114_1,,とよたおいでんバス7稲武・足助線,,3,15,FFA940,000000
152002,5000020232114_1,,とよたおいでんバス7稲武・足助線,,3,15,FFA940,000000
152003,5000020232114_1,,とよたおいでんバス快速いなぶ,,3,15,FFA940,000000
161001,5000020232114_1,,とよたおいでんバス8さなげ・足助線,,3,16,FFA940,000000
161002,5000020232114_1,,とよたおいでんバス8さなげ・足助線,,3,16,FFA940,000000
161003,5000020232114_1,,とよたおいでんバス8さなげ・足助線,,3,16,FFA940,000000
161005,5000020232114_1,,とよたおいでんバス8さなげ・足助線,,3,16,FFA940,000000
161006,5000020232114_1,,とよたおいでんバス8さなげ・足助線,,3,16,FFA940,000000
161008,5000020232114_1,,とよたおいでんバス8さなげ・足助線,,3,16,FFA940,000000
162001,5000020232114_1,,とよたおいでんバス8さなげ・足助線,,3,16,FFA940,000000
162002,5000020232114_1,,とよたおいでんバス8さなげ・足助線,,3,16,FFA940,000000
162003,5000020232114_1,,とよたおいでんバス8さなげ・足助線,,3,16,FFA940,000000
162004,5000020232114_1,,とよたおいでんバス8さなげ・足助線,,3,16,FFA940,000000
162005,5000020232114_1,,とよたおいでんバス8さなげ・足助線,,3,16,FFA940,000000
162008,5000020232114_1,,とよたおいでんバス8さなげ・足助線,,3,16,FFA940,000000
171001,5000020232114_1,,とよたおいでんバス10下山・豊田線,,3,17,FFA940,000000
171002,5000020232114_1,,とよたおいでんバス10下山・豊田線,,3,17,FFA940,000000
172001,5000020232114_1,,とよたおいでんバス10下山・豊田線,,3,17,FFA940,000000
172002,5000020232114_1,,とよたおいでんバス10下山・豊田線,,3,17,FFA940,000000
181001,5000020232114_1,,とよたおいでんバス21保見・豊田線,,3,18,FFA940,000000
181002,5000020232114_1,,とよたおいでんバス21保見・豊田線,,3,18,FFA940,000000
