trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
10福岡金_08時32分_系統641001,08:32:00,08:32:00,6001_01,1,新田方面,0,1
10福岡金_08時32分_系統641001,08:34:00,08:34:00,6052_01,2,新田方面,0,0
10福岡金_08時32分_系統641001,08:35:00,08:35:00,6053_01,3,新田方面,0,0
10福岡金_08時32分_系統641001,08:36:00,08:36:00,6054_01,4,新田方面,0,0
10福岡金_08時32分_系統641001,08:38:00,08:38:00,6055_01,5,新田方面,0,0
10福岡金_08時32分_系統641001,08:39:00,08:39:00,6056_01,6,新田方面,0,0
10福岡金_08時32分_系統641001,08:41:00,08:41:00,6057_01,7,新田方面,0,0
10福岡金_08時32分_系統641001,08:42:00,08:42:00,6058_01,8,新田方面,0,0
10福岡金_08時32分_系統641001,08:43:00,08:43:00,6059_01,9,新田方面,0,0
10福岡金_08時32分_系統641001,08:45:00,08:45:00,6060_01,10,新田方面,0,0
10福岡金_08時32分_系統641001,08:46:00,08:46:00,6061_01,11,新田方面,0,0
10福岡金_08時32分_系統641001,08:47:00,08:47:00,6062_01,12,新田方面,0,0
10福岡金_08時32分_系統641001,08:50:00,08:50:00,6063_01,13,新田方面,0,0
10福岡金_08時32分_系統641001,08:52:00,08:52:00,6064_01,14,新田方面,0,0
10福岡金_08時32分_系統641001,08:56:00,08:56:00,6065_01,15,新田方面,0,0
10福岡金_08時32分_系統641001,08:57:00,08:57:00,6066_01,16,新田方面,0,0
10福岡金_08時32分_系統641001,09:02:00,09:02:00,6067_01,17,新田方面,0,0
10福岡金_08時32分_系統641001,09:07:00,09:07:00,6068_01,18,新田方面,1,0
10福岡金_09時10分_系統642001,09:10:00,09:10:00,6068_01,1,総合福祉センター,0,1
10福岡金_09時10分_系統642001,09:15:00,09:15:00,6067_01,2,総合福祉センター,0,0
10福岡金_09時10分_系統642001,09:19:00,09:19:00,6066_01,3,総合福祉センター,0,0
10福岡金_09時10分_系統642001,09:20:00,09:20:00,6065_01,4,総合福祉センター,0,0
10福岡金_09時10分_系統642001,09:23:00,09:23:00,6064_01,5,総合福祉センター,0,0
10福岡金_09時10分_系統642001,09:26:00,09:26:00,6063_01,6,総合福祉センター,0,0
10福岡金_09時10分_系統642001,09:29:00,09:29:00,6062_01,7,総合福祉センター,0,0
10福岡金_09時10分_系統642001,09:30:00,09:30:00,6061_01,8,総合福祉センター,0,0
10福岡金_09時10分_系統642001,09:31:00,09:31:00,6060_01,9,総合福祉センター,0,0
10福岡金_09時10分_系統642001,09:33:00,09:33:00,6059_01,10,総合福祉センター,0,0
10福岡金_09時10分_系統642001,09:34:00,09:34:00,6058_01,11,総合福祉センター,0,0
10福岡金_09時10分_系統642001,09:35:00,09:35:00,6057_01,12,総合福祉センター,0,0
10福岡金_09時10分_系統642001,09:37:00,09:37:00,6056_01,13,総合福祉センター,0,0
10福岡金_09時10分_系統642001,09:38:00,09:38:00,6055_01,14,総合福祉センター,0,0
10福岡金_09時10分_系統642001,09:40:00,09:40:00,6054_01,15,総合福祉センター,0,0
10福岡金_09時10分_系統642001,09:41:00,09:41:00,6053_01,16,総合福祉センター,0,0
10福岡金_09時10分_系統642001,09:42:00,09:42:00,6052_01,17,総合福祉センター,0,0
10福岡金_09時10分_系統642001,09:44:00,09:44:00,6001_01,18,総合福祉センター,1,0
10福岡金_10時15分_系統631001,10:15:00,10:15:00,6001_01,1,上之平・下組方面,0,1
10福岡金_10時15分_系統631001,10:17:00,10:17:00,6019_02,2,上之平・下組方面,0,0
10福岡金_10時15分_系統631001,10:19:00,10:19:00,6037_01,3,上之平・下組方面,0,0
10福岡金_10時15分_系統631001,10:20:00,10:20:00,6038_01,4,上之平・下組方面,0,0
10福岡金_10時15分_系統631001,10:21:00,10:21:00,6039_01,5,上之平・下組方面,0,0
10福岡金_10時15分_系統631001,10:22:00,10:22:00,6040_01,6,上之平・下組方面,0,0
10福岡金_10時15分_系統631001,10:23:00,10:23:00,6041_01,7,上之平・下組方面,0,0
10福岡金_10時15分_系統631001,10:25:00,10:25:00,6042_01,8,上之平・下組方面,0,0
10福岡金_10時15分_系統631001,10:26:00,10:26:00,6043_01,9,総合福祉センター,0,0
10福岡金_10時15分_系統631001,10:28:00,10:28:00,6044_01,10,総合福祉センター,0,0
10福岡金_10時15分_系統631001,10:30:00,10:30:00,6045_01,11,総合福祉センター,0,0
10福岡金_10時15分_系統631001,10:31:00,10:31:00,6046_01,12,総合福祉センター,0,0
10福岡金_10時15分_系統631001,10:31:00,10:31:00,6047_01,13,総合福祉センター,0,0
10福岡金_10時15分_系統631001,10:32:00,10:32:00,6048_01,14,総合福祉センター,0,0
10福岡金_10時15分_系統631001,10:33:00,10:33:00,6049_01,15,総合福祉センター,0,0
10福岡金_10時15分_系統631001,10:35:00,10:35:00,6050_01,16,総合福祉センター,0,0
10福岡金_10時15分_系統631001,10:36:00,10:36:00,6051_01,17,総合福祉センター,0,0
10福岡金_10時15分_系統631001,10:38:00,10:38:00,6019_01,18,総合福祉センター,0,0
10福岡金_10時15分_系統631001,10:40:00,10:40:00,6001_01,19,総合福祉センター,1,0
10福岡金_10時55分_系統621001,10:55:00,10:55:00,6001_01,1,本郷方面,0,1
10福岡金_10時55分_系統621001,10:57:00,10:57:00,6019_02,2,本郷方面,0,0
10福岡金_10時55分_系統621001,11:00:00,11:00:00,6031_01,3,本郷方面,0,0
10福岡金_10時55分_系統621001,11:01:00,11:01:00,6032_01,4,本郷方面,0,0
10福岡金_10時55分_系統621001,11:02:00,11:02:00,6033_01,5,本郷方面,0,0
10福岡金_10時55分_系統621001,11:05:00,11:05:00,6034_01,6,本郷方面,0,0
10福岡金_10時55分_系統621001,11:07:00,11:07:00,6035_01,7,本郷方面,0,0
10福岡金_10時55分_系統621001,11:09:00,11:09:00,6036_01,8,本郷方面,1,0
10福岡金_11時09分_系統622001,11:09:00,11:09:00,6036_01,1,総合福祉センター,0,1
10福岡金_11時09分_系統622001,11:10:00,11:10:00,6035_01,2,総合福祉センター,0,0
10福岡金_11時09分_系統622001,11:12:00,11:12:00,6034_01,3,総合福祉センター,0,0
10福岡金_11時09分_系統622001,11:14:00,11:14:00,6033_01,4,総合福祉センター,0,0
10福岡金_11時09分_系統622001,11:15:00,11:15:00,6032_01,5,総合福祉センター,0,0
10福岡金_11時09分_系統622001,11:16:00,11:16:00,6031_01,6,総合福祉センター,0,0
10福岡金_11時09分_系統622001,11:20:00,11:20:00,6019_01,7,総合福祉センター,0,0
10福岡金_11時09分_系統622001,11:22:00,11:22:00,6001_01,8,総合福祉センター,1,0
10福岡金_12時42分_系統641001,12:42:00,12:42:00,6001_01,1,新田方面,0,1
10福岡金_12時42分_系統641001,12:44:00,12:44:00,6052_01,2,新田方面,0,0
10福岡金_12時42分_系統641001,12:45:00,12:45:00,6053_01,3,新田方面,0,0
10福岡金_12時42分_系統641001,12:46:00,12:46:00,6054_01,4,新田方面,0,0
10福岡金_12時42分_系統641001,12:48:00,12:48:00,6055_01,5,新田方面,0,0
10福岡金_12時42分_系統641001,12:49:00,12:49:00,6056_01,6,新田方面,0,0
10福岡金_12時42分_系統641001,12:51:00,12:51:00,6057_01,7,新田方面,0,0
10福岡金_12時42分_系統641001,12:52:00,12:52:00,6058_01,8,新田方面,0,0
10福岡金_12時42分_系統641001,12:53:00,12:53:00,6059_01,9,新田方面,0,0
10福岡金_12時42分_系統641001,12:55:00,12:55:00,6060_01,10,新田方面,0,0
10福岡金_12時42分_系統641001,12:56:00,12:56:00,6061_01,11,新田方面,0,0
10福岡金_12時42分_系統641001,12:57:00,12:57:00,6062_01,12,新田方面,0,0
10福岡金_12時42分_系統641001,13:00:00,13:00:00,6063_01,13,新田方面,0,0
10福岡金_12時42分_系統641001,13:02:00,13:02:00,6064_01,14,新田方面,0,0
10福岡金_12時42分_系統641001,13:06:00,13:06:00,6065_01,15,新田方面,0,0
10福岡金_12時42分_系統641001,13:07:00,13:07:00,6066_01,16,新田方面,0,0
10福岡金_12時42分_系統641001,13:12:00,13:12:00,6067_01,17,新田方面,0,0
10福岡金_12時42分_系統641001,13:17:00,13:17:00,6068_01,18,新田方面,1,0
10福岡金_13時20分_系統642001,13:20:00,13:20:00,6068_01,1,総合福祉センター,0,1
10福岡金_13時20分_系統642001,13:25:00,13:25:00,6067_01,2,総合福祉センター,0,0
10福岡金_13時20分_系統642001,13:29:00,13:29:00,6066_01,3,総合福祉センター,0,0
10福岡金_13時20分_系統642001,13:30:00,13:30:00,6065_01,4,総合福祉センター,0,0
10福岡金_13時20分_系統642001,13:33:00,13:33:00,6064_01,5,総合福祉センター,0,0
10福岡金_13時20分_系統642001,13:36:00,13:36:00,6063_01,6,総合福祉センター,0,0
