stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code
1001_01,,落合事務所,,35.51343,137.53109,1001_01,,0,
1002_01,,JA落合支店,,35.51191,137.53044,1002_01,,0,
1003_01,,落合診療所,,35.51174,137.5278,1003_01,,0,
1004_01,,中川医院,,35.51326,137.52622,1004_01,,0,
1005_01,,夜明け大橋,,35.5118,137.53553,1005_01,,0,
1006_01,,向山下,,35.515049,137.53886,1006_01,,0,
1007_01,,向山（落合）,,35.514881,137.5406,1007_01,,0,
1008_01,,山中,,35.511993,137.54164,1008_01,,0,
1009_01,,石畳下,,35.512917,137.54189,1009_01,,0,
1010_01,,用水改修記念碑,,35.51678,137.54329,1010_01,,0,
1011_01,,弘法様,,35.51846,137.53968,1011_01,,0,
1012_01,,ひょうたん山前,,35.5194,137.53826,1012_01,,0,
1013_01,,農園前,,35.52317,137.53661,1013_01,,0,
1014_01,,観音様,,35.52438,137.5339,1014_01,,0,
1015_01,,民宿下,,35.5232,137.53154,1015_01,,0,
1016_01,,落合川駅上,,35.52539,137.53141,1016_01,,0,
1017_01,,落合川駅,,35.52438,137.52944,1017_01,,0,
1018_01,,恵乃裾橋,,35.51909,137.52829,1018_01,,0,
1019_01,,５号区クラブ,,35.51933,137.52535,1019_01,,0,
1020_01,,下落合,,35.519,137.52333,1020_01,,0,
1021_01,,JR陸橋,,35.51632,137.52136,1021_01,,0,
1022_01,,６号区公会堂,,35.51281,137.52316,1022_01,,0,
1023_01,,落合小学校,,35.51077,137.52824,1023_01,,0,
1024_01,,公会堂下,,35.50795,137.53196,1024_01,,0,
1025_01,,８号区公会堂,,35.50694,137.53062,1025_01,,0,
1026_01,,御殿山,,35.50591,137.53089,1026_01,,0,
1027_01,,山の田大橋,,35.50477,137.53037,1027_01,,0,
1028_01,,上ノ山浄水場下,,35.50148,137.53462,1028_01,,0,
1029_01,,銭亀倶楽部,,35.50227,137.52967,1029_01,,0,
1030_01,,銭亀,,35.50149,137.5277,1030_01,,0,
1031_01,,三五沢上,,35.50564,137.52393,1031_01,,0,
1032_01,,ふれあい広場,,35.50745,137.5216,1032_01,,0,
1033_01,,丸山バス停,,35.50985,137.51684,1033_01,,0,
1034_01,,１１号区公会堂,,35.511,137.51783,1034_01,,0,
1035_01,,上与坂大橋,,35.51221,137.51848,1035_01,,0,
1036_01,,上与坂,,35.51033,137.5212,1036_01,,0,
2001_01,,阿木駅,,35.40011,137.45897,2001_01,,0,
2002_01,,JA阿木支店,,35.39608,137.46397,2002_01,,0,
2004_01,,阿木郵便局,,35.39613,137.46498,2004_01,,0,
2005_01,,阿木交流センター,　,35.396106,137.466425,2005_01,,0,
2006_01,,ライスセンター,,35.39614,137.47214,2006_01,,0,
2007_01,,藤上組集会所,,35.397908,137.473844,2007_01,,0,
2009_01,,広岡公民館,,35.40478,137.48776,2009_01,,0,
2010_01,,牧野クラブ,,35.40388,137.47877,2010_01,,0,
2011_01,,中組,,35.40887,137.49559,2011_01,,0,
2012_01,,清水クラブ,,35.40632,137.49528,2012_01,,0,
2013_01,,六地蔵,,35.40333,137.48869,2013_01,,0,
2014_01,,下広岡燈籠場,,35.39961,137.48616,2014_01,,0,
2015_01,,大根木,,35.39101,137.48204,2015_01,,0,
2016_01,,長楽寺,,35.39161,137.48029,2016_01,,0,
2017_01,,真原燈籠場,,35.39122,137.47622,2017_01,,0,
2018_01,,真原クラブ,,35.39078,137.47362,2018_01,,0,
2019_01,,下山野田,,35.39225,137.46882,2019_01,,0,
2020_01,,山野田クラブ,,35.38869,137.46829,2020_01,,0,
